Name,Type,Website,Instagram,Event Types,Frequency,Language,International Relevance,
ESN Nijmegen,Student Association,[https://esnnijmegen.nl/,@esnnijmegen](https://esnnijmegen.nl/,@esnnijmegen),"Pub quizzes, bowling, parties, cultural trips",Multiple times per month,English,High
AEGEE-Nijmegen,Student Association,[https://www.aegee-nijmegen.nl/,@aegeenijmegen](https://www.aegee-nijmegen.nl/,@aegeenijmegen),"Social drinks, European travel, workshops",Weekly drinks + monthly events,English/Dutch,High
AIESEC Nijmegen,Student Association,[https://aiesec.nl/,@aiesecinnederland](https://aiesec.nl/,@aiesecinnederland),"Leadership workshops, social mixers, internships",Weekly,English,High
United Netherlands,Student Association,[https://unitednetherlands.org/,@unitednetherlands](https://unitednetherlands.org/,@unitednetherlands),"Public speaking training, MUN, social drinks",Weekly,English,High
ELSA Nijmegen,Student Association,[https://elsanijmegen.nl/,@elsanijmegen](https://elsanijmegen.nl/,@elsanijmegen),"Moot courts, legal visits, networking",Bi-weekly,English/Dutch,High
IFMSA Nijmegen,Student Association,[https://ifmsa.nl/,@ifmsa_nl](https://ifmsa.nl/,@ifmsa_nl),"Medical workshops, social events, exchanges",Monthly,English/Dutch,Medium
CognAC (AI),Study Association,[https://www.svcognac.nl/,@svcognac](https://www.svcognac.nl/,@svcognac),"Board games, social drinks, symposia",Multiple weekly,English,High
Synergy (Management),Study Association,[https://www.synergy.nu/,@synergynijmegen](https://www.synergy.nu/,@synergynijmegen),"Career events, parties, study trips",Weekly,English/Dutch,High
SPiN (Psychology),Study Association,[https://www.spin-nijmegen.com/,@spinnijmegen](https://www.spin-nijmegen.com/,@spinnijmegen),"Lectures, parties, social mixers",Weekly,English/Dutch,High
Thalia (CS),Study Association,[https://www.thalia.nu/,@svthalia](https://www.thalia.nu/,@svthalia),"LAN parties, borrels, company visits",Weekly,English,High
Babylon (CIS),Study Association,[https://www.svbabylon.nl/,@svbabylon](https://www.svbabylon.nl/,@svbabylon),"Networking, parties, workshops",Weekly,English/Dutch,High
Mundus (Geography),Study Association,[https://www.mundusnijmegen.nl/,@mundusnijmegen](https://www.mundusnijmegen.nl/,@mundusnijmegen),"Field trips, drinks, lectures",Bi-weekly,English/Dutch,Medium
Ismus (PolSci),Study Association,[https://www.ismus.nl/,@svismus](https://www.ismus.nl/,@svismus),"Debates, social drinks, travel",Weekly,English/Dutch,Medium
Leonardo da Vinci (Science),Study Association,[https://www.leonardodavinci.nl/,@svleonardodavinci](https://www.leonardodavinci.nl/,@svleonardodavinci),"Lunch lectures, social drinks, parties",Weekly,English,High
BeeVee (Biology),Study Association,[https://www.beevee.nl/,@svbeevee](https://www.beevee.nl/,@svbeevee),"Excursions, parties, drinks",Weekly,Dutch/English,Medium
Sigma (MLS),Study Association,[https://www.sigma-nijmegen.nl/,@svsigma](https://www.sigma-nijmegen.nl/,@svsigma),"Symposia, social drinks, excursions",Bi-weekly,English,High
Marie Curie (Physics),Study Association,[https://www.marie-curie.nl/,@svmariecurie](https://www.marie-curie.nl/,@svmariecurie),"Study trips, social drinks, lectures",Weekly,English/Dutch,Medium
Desda (Math),Study Association,[https://www.desda.nl/,@svdesda](https://www.desda.nl/,@svdesda),"Puzzles, social drinks, symposia",Bi-weekly,English/Dutch,Medium
KNUS (Culture),Study Association,[https://www.svknus.nl/,@svknus](https://www.svknus.nl/,@svknus),"Cultural outings, social drinks",Bi-weekly,Dutch/English,Medium
USA (American Studies),Study Association,[https://www.svusa.nl/,@svusa](https://www.svusa.nl/,@svusa),"Thanksgiving dinners, film nights",Monthly,English,High
NSRV Phocas,Sports Club,[https://phocasnijmegen.nl/,@nsrvphocas](https://phocasnijmegen.nl/,@nsrvphocas),"Rowing, social drinks, galas",Daily,Dutch/English,Medium
NSTV Slow,Sports Club,[https://slowtennis.nl/,@nstvslow](https://slowtennis.nl/,@nstvslow),"Tennis, social drinks, tournaments",Weekly,English/Dutch,High
Morado CF,Sports Club,[https://www.moradocf.nl/,@moradocf](https://www.moradocf.nl/,@moradocf),"Futsal matches, social drinks",Weekly,English/Dutch,High
SDVN Dance Fever,Sports Club,[https://sdvndancefever.nl/,@sdvndancefever](https://sdvndancefever.nl/,@sdvndancefever),"Dance classes, parties, workshops",Weekly,English/Dutch,High
FC Kunde,Sports Club,[https://www.fckunde.nl/275/membership/,@fckunde](https://www.fckunde.nl/275/membership/,@fckunde),"Soccer, social drinks, tournaments",Weekly,English/Dutch,High
NSVV Heyendaal,Sports Club,[https://nsvvheyendaal.nl/internationals/,@nsvv_heyendaal](https://nsvvheyendaal.nl/internationals/,@nsvv_heyendaal),"Volleyball, social mixers",Weekly,English/Dutch,High
NSRV Obelix,Sports Club,[http://www.nsrvobelix.nl/,@nsrvobelix](http://www.nsrvobelix.nl/,@nsrvobelix),"Rugby matches, social drinks",Weekly,English,High
Trajanum,Sports Club,[http://trajanum.nl/en/,@trajanum_nijmegen](http://trajanum.nl/en/,@trajanum_nijmegen),"Basketball, social drinks",Weekly,English,High
Dorans,Sports Club,[https://dorans.nl/,@dorans_esports](https://dorans.nl/,@dorans_esports),"Gaming sessions, tournaments",Weekly,English,High
NijSAC,Sports Club,[https://nijsac.info/en/,@nijsac](https://nijsac.info/en/,@nijsac),"Climbing, alpine trips, drinks",Weekly,English/Dutch,Medium
NSKV SkunK,Sports Club,[https://skunk.ruhosting.nl/english/,@nskvskunk](https://skunk.ruhosting.nl/english/,@nskvskunk),"Korfball, social mixers",Weekly,Dutch/English,Medium
Hydrofiel,Sports Club,[https://www.hydrofiel.nl/,@nswvhydrofiel](https://www.hydrofiel.nl/,@nswvhydrofiel),"Swimming, water polo, social",Weekly,English/Dutch,Medium
N.S.W.V. Mercurius,Sports Club,[https://nswv-mercurius.nl/,@nswvmercurius](https://nswv-mercurius.nl/,@nswvmercurius),"Cycling, social rides",Weekly,Dutch/English,Medium
Radboud Saints,Sports Club,[http://radboudsaints.nl/,@radboudsaints](http://radboudsaints.nl/,@radboudsaints),"Ice hockey, social drinks",Weekly,English/Dutch,Medium
Apeliotes,Sports Club,[https://www.apeliotes.nl/,@apeliotes](https://www.apeliotes.nl/,@apeliotes),"Field hockey, parties",Weekly,Dutch/English,Medium
Studentenkerk,Religious/Spiritual,[https://www.ru.nl/studentenkerk,@studentenkerk](https://www.ru.nl/studentenkerk,@studentenkerk),"Meet & Eat, meditation, film night",Daily,English/Dutch,High
Dito Nijmegen,Community Organization,[https://www.ditonijmegen.nl/,@ditonijmegen](https://www.ditonijmegen.nl/,@ditonijmegen),"Queer lunches, parties, games",Bi-weekly,English/Dutch,High
Amnesty Student Group,Community Organization,[https://www.amnesty.nl/,@amnesty_nijmegen](https://www.amnesty.nl/,@amnesty_nijmegen),"Writing nights, film screenings",Monthly,English/Dutch,High
Radboud Green Office,University Official,[https://www.ru.nl/greenoffice,@greenofficeradboud](https://www.ru.nl/greenoffice,@greenofficeradboud),"Sustainability workshops, drinks",Weekly,English,High
UNICEF Student Team,Community Organization,[https://unicef.nl/,@unicefstudentteamnijmegen](https://unicef.nl/,@unicefstudentteamnijmegen),"Awareness, fundraisers, social",Monthly,English,Medium
K.S.N. (Catholic),Religious/Spiritual,[https://www.ksnijmegen.nl/,@ksnijmegen](https://www.ksnijmegen.nl/,@ksnijmegen),"Mass, social drinks, lectures",Weekly,Dutch/English,Medium
MSV Nijmegen (Muslim),Religious/Spiritual,N/A,@msvnijmegen,"Iftars, lectures, socials",Monthly,Dutch/English,High,
Navigators (NSN),Religious/Spiritual,[https://www.nsnijmegen.nl/,@nsnijmegen](https://www.nsnijmegen.nl/,@nsnijmegen),"Bible study, social drinks",Weekly,Dutch,Medium
Doornroosje,Commercial Venue,[https://www.doornroosje.nl/,@doornroosjenl](https://www.doornroosje.nl/,@doornroosjenl),"Concerts, club nights, festivals",Daily,English/Dutch,High
LUX Nijmegen,Commercial Venue,[https://www.lux-nijmegen.nl/,@luxnijmegen](https://www.lux-nijmegen.nl/,@luxnijmegen),"Cinema, theater, debates",Daily,English friendly,High
Tierney's Irish Pub,Bar/Pub/Café,[https://www.tierneysirishpub.nl/,@tierneyspubnijmegen](https://www.tierneysirishpub.nl/,@tierneyspubnijmegen),"International Pub Quiz, sports",Weekly,English,High
Thiemeloods,Cultural Association,[https://thiemeloods.nl/,@thiemeloods](https://thiemeloods.nl/,@thiemeloods),"The Wednesday Quiz, comedy",Weekly,English,High
Café van Ouds,Bar/Pub/Café,[https://cafevanouds.nl/,@cafevanouds](https://cafevanouds.nl/,@cafevanouds),"Open mic comedy, social drinks",Weekly,English,High
Lindenberg,Cultural Association,[https://www.delindenberg.com/,@delindenberg](https://www.delindenberg.com/,@delindenberg),"Courses (arts, dance), theater",Daily,Dutch/English,Medium
Merleyn,Commercial Venue,[https://www.doornroosje.nl/merleyn,@merleyn_nijmegen](https://www.doornroosje.nl/merleyn,@merleyn_nijmegen),"Indie concerts, small club nights",Weekly,English friendly,High
De Plak,Bar/Pub/Café,[https://cafedeplak.nl/,@cafedeplak](https://cafedeplak.nl/,@cafedeplak),"Alternative dining, club nights",Weekly,Dutch/English,Medium
Bloemerbar,Bar/Pub/Café,[https://bloemerbar.nl/,@bloemerbar](https://bloemerbar.nl/,@bloemerbar),"Social drinks, expat meetups",Weekly,English friendly,High
Camelot,Bar/Pub/Café,[https://www.cafecamelot.nl/,@cafecamelot_nijmegen](https://www.cafecamelot.nl/,@cafecamelot_nijmegen),"Board games, social drinks",Daily,Dutch/English,Medium
Expats & Locals,Community Organization,[https://www.expatslocals.com/,Meetup/WhatsApp](https://www.expatslocals.com/,Meetup/WhatsApp),"Social drinks, walks, mixers",Bi-weekly,English,High
PON (PhD Org),University Official,[https://www.pon-nijmegen.nl/,WhatsApp/IG](https://www.pon-nijmegen.nl/,WhatsApp/IG),"Networking, hiking, book club",Monthly,English,High
Nijmegen Stand Up,Community Organization,N/A,Meetup,Comedy shows (English),Monthly,English,High,
Goin' Radboud,Online Platform,N/A,Mobile App,Peer networking for admits,Daily,English,High,
Expats In Nijmegen,Community Organization,N/A,Meetup,"Running, hiking, socials",Weekly,English,High,
Nimma.codes,Community Organization,N/A,Meetup,"Tech talks, coding socials",Bi-monthly,English,High,
Arnhem/Nijmegen Hiking,Community Organization,N/A,Meetup,"Nature walks, day trips",Monthly,English,High,
SSHn,Community Organization,https://www.sshn.nl/,(@sshn_hierwonenstudenten),,,,,
BBB Career Event ,,https://bbb-careerevent.com/,,,,,,
Olympus radboud,,https://olympus.science.ru.nl/home-dutch/,,,,,,
